CustID,ASP,Recency,Frequency,Monetary
MU2640,344.72727273,3,3,4
MU2251,344.61553493,1,1,1
MU3526,344.33121019,4,3,3
MU3247,343.41463415,2,3,4
MU3431,343.40540541,1,2,2
MU1994,343.40336134,5,3,2
MU10223,342.74193548,1,3,3
MU3304,342.08672087,4,2,2
MU3007,341.84644078,2,1,1
MU1490,341.80242634,1,1,1
MU2966,341.53434434,1,1,1
MU3087,341.43167028,1,1,1
MU2677,341.37062937,2,2,2
MU2103,341,5,4,5
MU2476,340.91160221,2,1,2
MU1577,340.76923077,3,2,3
MU10861,340.68181818,2,3,4
MU3408,340.59800664,4,2,2
MU2970,340.3997779,2,1,1
MU3381,340.33333333,4,2,2
MU2558,340.17220903,4,2,2
MU2744,340,5,4,5
MU2650,339.74358974,5,3,3
MU2342,339.41284404,4,2,2
MU2437,339.35019552,1,1,1
MU3037,338.59649123,4,2,3
MU1246,338.47619048,4,3,3
MU1610,338.31932773,4,1,2
MU3099,338.18181818,5,3,5
MU10140,337.91044776,3,3,4
MU3081,337.86465478,1,1,1
MU2418,337.48493371,4,2,2
MU1657,337.37948084,4,1,1
MU2847,337,5,4,5
MU2553,336.89320388,4,2,2
MU10406,336.27737226,2,3,2
MU10463,336.17283951,2,3,3
MU2608,336,5,4,5
MU2633,336,5,4,5
MU3051,335.9807074,4,1,2
MU1144,335.55806088,1,1,1
MU2448,335.55555556,5,4,5
MU11011,335.40899012,1,2,1
MU2839,335.27730309,1,1,1
MU2801,335.15482696,2,2,2
MU2208,335,5,4,5
MU3246,334.93734336,5,2,2
MU3105,334.23076923,4,3,3
MU1662,333.88127854,4,2,3
MU2731,333.78064516,4,1,2
MU3470,333.60336665,1,1,1
MU1140,333.04940375,4,3,3
MU3273,332.49051833,5,2,3
MU2597,332,4,3,5
MU1970,331.38714042,1,1,1
MU3320,331.21568627,2,2,2
MU3038,331.02040816,3,2,2
MU2163,330.84507042,4,3,3
MU2753,330.78477078,4,1,1
MU10450,330.74265976,3,2,2
MU3103,330.64516129,5,3,4
MU10358,330.38961039,2,3,4
MU3112,330.35175879,3,1,1
MU3555,330.27496382,2,1,2
MU1175,330.24282561,4,3,4
MU2827,330.16393443,5,3,4
MU2980,330.13991163,3,1,1
MU2178,330,5,4,5
MU1333,329.83050847,3,3,3
MU11145,329.71428571,1,3,5
MU2701,329.71428571,3,2,4
MU2108,329.05660377,4,1,2
MU1233,328.49484536,1,2,2
MU2094,328.04500703,4,1,1
MU10311,328,2,3,4
MU11110,328,1,3,4
MU10709,327.5,2,4,4
MU11113,327.5,1,4,4
MU3523,327.35615441,2,1,1
MU10077,327.27272727,3,3,3
MU1465,327.02308627,5,2,2
MU1074,326.99619772,5,3,3
MU3466,326.94108152,1,1,1
MU3159,326.89486553,4,2,2
MU1156,326.37037037,3,3,3
MU2328,326.17985125,3,1,1
MU10849,325.51724138,1,3,4
MU3044,325.23809524,5,3,4
MU10556,325,3,4,5
MU3279,324.57692308,3,2,2
MU1579,324.38964242,4,2,2
MU2911,323.69230769,1,2,2
MU3480,323.49112426,2,2,2
MU2869,323.48739496,2,2,2
MU2776,323.2967033,4,2,2
MU1171,322.97753808,1,1,1
MU1289,322.84463895,3,1,1
MU3154,322.82157676,4,1,2
MU2434,322.63212435,3,1,1
MU3525,322.44444444,3,3,4
MU3534,322.27272727,1,2,2
MU2734,322.01643836,4,1,1
MU3204,321.97802198,3,3,4
MU3033,321.07377049,2,1,1
MU2732,321.02625298,4,2,2
MU2089,320.82949309,1,1,2
MU2406,320.69672131,4,1,1
MU2851,320.68965517,5,4,5
MU2964,320.64156206,4,2,2
MU2420,320.53691275,5,2,3
MU2148,320.41401274,4,1,2
MU2153,320.19837692,4,2,1
MU1788,320,4,3,4
MU3573,320,5,4,5
MU1736,319.47565543,4,2,2
MU2965,319.42857143,2,3,5
MU3192,319.34926471,4,1,1
MU2797,319.31707317,3,2,3
MU2231,318.79699248,4,2,3
MU2211,318.28187919,2,2,2
MU2533,318.05555556,4,2,3
MU3337,317.68261965,4,2,2
MU1095,317.35714286,4,2,2
MU1954,316.66666667,5,4,5
MU2032,316.30331754,5,2,3
MU2488,316.25,4,2,3
MU11180,315.58823529,1,4,4
MU2438,315.52529183,1,1,1
MU3360,315.49295775,4,3,3
MU1979,315.42471042,3,1,1
MU2232,315.09090909,5,3,3
MU3355,314.85714286,5,4,5
MU3124,314.81377372,2,1,1
MU2189,314.60766962,2,1,1
MU2353,314.49541284,3,2,3
MU2487,314.46945338,4,2,2
MU1118,314.3352794,1,1,1
MU2651,314.32710034,5,1,1
MU2354,314.03887689,3,2,2
MU2161,313.85656292,5,2,2
MU2236,313.70030581,3,2,2
MU3346,313.36343115,3,2,2
MU1516,313.33333333,3,3,4
MU2877,312.55215138,1,1,1
MU1029,312.42718447,5,2,3
MU2412,312.39973702,4,1,1
MU10196,312.38095238,3,4,4
MU2324,312.29458308,4,1,2
MU3313,311.80327869,5,3,4
MU2294,311.42857143,5,4,4
MU2274,311.25,4,3,5
MU2407,311.12860892,4,2,2
MU2309,310.87474785,4,1,1
MU2997,310.64516129,4,3,3
MU2549,310.52375691,3,1,1
MU3324,310.04366812,4,1,2
MU2945,309.91172762,4,2,2
MU2836,309.85,4,3,2
MU3303,309.83682984,2,2,2
MU2729,309.76958525,4,3,2
MU2446,309.53125,2,2,3
MU2572,309.36096718,2,1,1
MU2830,309.27285817,1,1,1
MU3485,308.99328859,4,2,3
MU1188,308.97087379,4,2,2
MU2273,308.93442623,5,2,3
MU2465,308.31168831,1,1,1
MU2959,308.20820115,1,1,1
MU3405,307.91297935,1,1,1
MU2529,307.78711485,4,2,2
MU2154,307.63636364,4,3,3
MU2874,307.46987952,4,3,4
MU3274,307.41645244,3,1,1
MU2728,307.29821902,5,3,1
MU1142,307.04819277,4,2,2
MU2986,307,5,4,5
MU2690,306.12359551,4,2,2
MU2224,305.84615385,5,3,3
MU2022,305.63380282,4,2,3
MU3529,304.09937888,4,2,3
MU3268,304,4,2,2
MU11181,304,1,4,5
MU11183,304,1,4,5
MU2303,303.99629972,2,1,1
MU3563,303.53142857,2,1,1
MU2611,303.40425532,5,3,3
MU2068,303.35666846,1,1,1
MU2739,303.08843537,4,1,1
MU2629,302.8962818,4,2,2
MU2550,302.4137931,4,2,3
MU3034,302.25352113,4,3,4
MU11182,301.57894737,1,4,5
MU1818,301.5161503,4,2,1
MU3243,301.20418848,3,2,2
MU2736,301.12478032,1,1,2
MU2670,300.93023256,4,2,2
MU2008,300.42654028,4,2,2
MU3556,300.24896266,4,2,3
MU2751,300.11378003,2,1,1
MU2857,300,4,3,4
MU3421,298.80226938,2,1,1
MU1675,298.35443038,4,3,3
MU2750,298.02197802,4,2,2
MU3073,297.51243781,1,3,3
MU2926,297.5,3,3,4
MU2866,297.47368421,2,2,3
MU3388,297.34458941,3,2,1
MU348,297.27626459,4,2,3
MU2929,296.70577617,1,1,1
MU2717,296.56884876,4,2,2
MU2485,295.55555556,5,4,5
MU2785,295.45454545,5,4,5
MU2336,295.3125,3,1,1
MU2033,295.12195122,5,3,5
MU3005,294.49070807,2,1,1
MU1008,294.31995831,5,2,2
MU3513,293.7764457,4,1,1
MU2463,293.68,3,2,2
MU3096,293.54350567,3,1,2
MU2511,293.23775388,1,1,1
MU10372,293.14893617,2,2,2
MU2286,293.125,5,4,5
MU2933,292.8,5,3,5
MU1231,292.29591837,2,1,1
MU2081,292,5,3,4
MU2724,292,5,4,5
MU2535,291.97774406,1,1,1
MU3397,291.66144201,3,2,2
MU1254,291.6112532,5,2,2
MU2239,290.9148265,4,2,2
MU1364,290.54545455,5,4,4
MU2807,290.49235993,4,2,2
MU11192,290.45454545,1,4,4
MU1606,290.25641026,4,3,5
MU2360,290.1184669,1,1,1
MU1018,290.06024096,3,2,2
MU1990,290,5,4,5
MU2248,290,5,4,5
MU2287,290,5,4,5
MU2331,290,5,4,5
MU2380,290,5,3,5
MU2475,290,5,4,5
MU3472,290,5,4,5
MU1158,289.78512397,4,2,2
MU3203,289.57446809,1,2,2
MU2682,289.33333333,5,4,5
MU2116,289.14285714,3,3,4
MU1853,289,5,4,5
MU2301,289,5,4,5
MU2507,289,5,4,5
MU3011,289,5,4,4
MU3020,289,5,4,5
MU2848,288.7664042,4,2,2
MU1436,288.71765382,2,1,1
MU2692,287.94520548,4,2,4
MU2289,287.69230769,4,3,4
MU1852,287.5,5,3,5
MU2132,287,5,4,5
MU2849,286.66666667,5,3,4
MU3294,286.37362637,5,3,4
MU3524,286,5,3,5
MU2795,285.98574822,5,2,2
MU2975,285.98202824,3,2,2
MU1066,285.98130841,3,3,4
MU2778,285.80645161,4,3,4
MU2130,285.55555556,4,3,3
MU2415,285.5233853,2,1,1
MU2990,285.45454545,4,3,4
MU3484,285.45454545,5,4,5
MU3254,285.4245283,1,1,1
MU2243,285.0535815,3,2,2
MU2293,285.03225806,5,2,3
MU2403,284.83870968,5,3,4
MU3376,284.48275862,5,2,2
MU2526,284.46840149,3,1,1
MU2166,284.45955133,5,1,1
MU1851,284.4,4,3,2
MU1274,284,5,4,5
MU1849,284,5,4,5
MU2080,284,5,4,5
MU2386,284,5,4,5
MU2506,284,5,4,5
MU2512,284,5,3,5
MU2519,284,5,4,5
MU2693,284,5,4,5
MU3053,283.85185185,4,3,3
MU3104,283.70464672,4,1,1
MU2419,283.33333333,5,4,5
MU11178,282.77777778,1,4,4
MU2754,281.82230281,4,2,2
MU3535,281.19047619,4,3,4
MU105,281.16666667,3,2,3
MU2168,280.76923077,5,3,4
MU2362,280.39506173,4,1,2
MU2459,280,5,4,5
MU2504,280,5,4,5
MU2741,280,5,4,5
MU3557,279.82608696,4,3,3
MU2904,279.77777778,5,2,3
MU1181,279.6875,5,4,5
MU2454,279.63446475,4,2,2
MU1102,279.24528302,5,4,5
MU3018,279.21052632,5,2,3
MU3298,279.17267484,2,1,1
MU3111,278.97522523,1,1,1
MU1530,278.88888889,5,3,5
MU2087,278.88888889,5,4,5
MU2257,278.8,5,2,3
MU3144,278.23834197,2,1,1
MU2297,278.1010101,3,2,2
MU2501,277.88413098,3,2,2
MU3259,277.6146789,5,2,3
MU2551,277.37556561,4,2,2
MU3445,277.04545455,4,3,4
MU2649,277,5,3,4
MU3474,276.66666667,1,3,4
MU11151,276.5,1,4,5
MU3429,276.37168142,1,2,1
MU2269,276.36363636,4,3,4
MU3129,276.33802817,4,3,3
MU1981,276.14163614,4,2,2
MU343,275.99423631,4,2,2
MU3213,275.94784353,4,1,1
MU3389,275.75,5,3,4
MU2947,275.66810345,1,1,2
MU3166,275.33333333,5,4,5
MU11158,275.17241379,1,4,5
MU1485,275.11976048,1,1,1
MU3400,275.05882353,5,3,4
MU10916,275,2,4,5
MU3065,275,5,4,5
MU3066,275,5,4,5
MU3163,275,5,4,5
MU3272,275,5,4,5
MU3297,275,5,4,5
MU3345,275,5,4,5
MU3432,275,5,4,5
MU2517,274.10430839,4,2,2
MU2098,273.09372798,4,2,1
MU3521,272.95843521,3,2,2
MU2457,272.94797688,3,2,3
MU3326,272.46376812,5,2,4
MU2981,272.17838765,4,2,2
MU2889,272.03607024,2,1,1
MU10229,272,3,3,5
MU2254,272,5,4,4
MU2676,272,5,4,5
MU2932,271.66469894,4,1,2
MU2490,270.83521445,4,1,1
MU2863,269.64912281,1,1,1
MU2710,269.33333333,1,1,1
MU2746,268.72081218,2,1,1
MU2673,268.45070423,3,2,2
MU3559,267.5,5,4,5
MU1114,267.09553663,1,1,1
MU3181,266.95652174,4,3,4
MU2960,266.9250646,4,2,2
MU3418,266.73684211,5,3,4
MU3128,266.55172414,3,1,1
MU2789,266.41509434,5,3,4
MU3414,266.33451957,5,2,3
MU2494,266.21621622,5,2,3
MU3410,265.88957055,2,3,3
MU1030,265.67753002,3,1,1
MU2548,265.55555556,3,2,3
MU2938,265.38461538,5,4,5
MU2470,265.20748576,4,1,1
MU2674,264.80651731,3,1,1
MU3180,264.76190476,5,4,5
MU2255,264.48087432,5,2,3
MU2300,264.44444444,5,4,5
MU3270,264.20253165,2,2,2
MU2118,264.01746725,4,2,3
MU3409,263.71584699,4,2,2
MU10152,263.4939759,3,3,3
MU2125,262.49394673,4,1,2
MU3187,262.36263736,3,2,2
MU1593,262.35294118,4,1,2
MU3130,262.02531646,4,3,4
MU2291,262,5,3,4
MU3444,261.93548387,4,3,4
MU3464,261.73390558,4,1,1
MU3512,261.55642023,4,2,3
MU3275,261.48148148,5,3,4
MU2860,260.49792531,4,2,3
MU10814,260.43715847,1,3,3
MU32,260.25,4,3,4
MU10029,260,3,4,5
MU2780,259.57746479,5,3,3
MU3132,259.51951952,4,2,2
MU2892,258.81443299,4,2,2
MU1182,258.44850646,3,2,2
MU3260,258.14606742,4,2,2
MU2622,257.8784267,4,1,1
MU1085,257.65092309,5,1,1
MU2136,257.30769231,5,3,4
MU2910,256.51245552,4,2,3
MU3088,256.19047619,5,4,5
MU2525,256.07142857,4,3,4
MU2639,255.38461538,4,3,4
MU10302,255.11363636,3,3,2
MU3435,254.52054795,4,2,2
MU2509,254.5112782,4,2,3
MU3277,254.25925926,4,2,4
MU2035,254.23913043,4,3,3
MU3032,254.22222222,5,3,5
MU3202,253.02325581,5,3,3
MU2053,252.71260087,2,1,1
MU2337,252.11214953,1,2,2
MU3546,252,5,3,4
MU3153,251.92307692,4,2,2
MU2142,251.79487179,4,3,3
MU2308,251.66666667,5,3,3
MU2318,251.22112211,1,1,1
MU2820,250.55408971,4,2,2
MU3554,250.43478261,5,4,5
MU2908,249.9031339,4,1,1
MU3077,249.67153285,3,1,2
MU1076,249.50226244,4,2,3
MU115,249.34782609,4,3,4
MU2709,248.66666667,5,4,5
MU10185,248.38709677,2,2,2
MU2117,247.91327913,3,2,2
MU2319,246.45445642,2,1,1
MU3135,246.13003096,5,2,2
MU3230,246.10526316,3,2,3
MU2593,246.08333333,4,2,3
MU3224,245.89155953,4,1,1
MU2011,245.78512397,4,3,4
MU2854,245.375,4,2,3
MU2891,245.12195122,5,4,5
MU1229,244.11764706,5,2,3
MU1924,243.63636364,5,4,5
MU2659,243.13901345,5,3,3
MU1548,243.04957905,3,2,2
MU1200,243.03030303,5,3,5
MU1109,242.76595745,5,3,4
MU2895,242.41486068,5,2,3
MU2481,241.81818182,5,3,4
MU2638,241.32861635,3,1,1
MU2624,241.28205128,4,3,4
MU2335,241.07614213,1,2,2
MU3190,240.8,5,4,5
MU2936,240,5,4,5
MU3035,239.48275862,4,3,4
MU2256,238.85964912,5,3,3
MU2605,238.81530234,1,1,1
MU3419,238.57142857,5,3,5
MU3311,238.18897638,4,2,3
MU2598,238.05147059,4,2,2
MU1711,238.0104712,4,2,2
MU3280,237.48538012,4,1,2
MU3238,237.37430168,4,2,2
MU2097,236.46687697,4,3,2
MU2977,236.07920792,5,2,2
MU10470,235,3,4,5
MU2140,234.92610837,4,2,2
MU2147,234.3575419,5,2,2
MU3169,234.23076923,5,2,3
MU11141,233.93939394,1,4,5
MU3256,233.44408946,4,2,1
MU2612,232.92682927,4,3,4
MU1629,232.4019025,1,2,3
MU10343,232.01413428,2,3,3
MU2552,231.89655172,5,2,3
MU2787,231.25,5,3,5
MU1787,230.4845815,1,1,1
MU2196,230,5,4,5
MU2195,230,5,4,5
MU2316,230,5,4,5
MU2453,230,5,4,5
MU2616,230,5,4,5
MU2998,230,5,4,5
MU2158,230,5,4,5
MU2775,229.44444444,5,3,5
MU1277,229.39501779,5,1,2
MU3350,229,4,3,4
MU2283,228.44444444,4,3,5
MU10604,226.76923077,2,3,2
MU3369,226.29107981,4,2,3
MU2758,225.12043512,1,1,1
MU2394,225,5,4,5
MU2646,225,5,4,5
MU2462,224.19354839,4,2,2
MU2440,224,5,4,5
MU10717,223.65384615,2,3,4
MU1971,223.28502415,4,2,2
MU1648,223.26530612,4,3,5
MU2831,220.98706603,4,1,1
MU11119,220,1,4,5
MU1209,219.35483871,5,4,5
MU2842,219.18656057,4,1,2
MU2973,219.01639344,4,3,4
MU1864,219,5,4,5
MU1162,218.84210526,4,2,3
MU3357,217.27272727,5,4,5
MU10413,217.2,3,3,5
MU2421,216.63551402,4,2,3
MU1043,216.32911392,4,3,3
MU2781,215.98355843,1,1,1
MU2943,215.55555556,5,4,5
MU104,215.14285714,4,3,4
MU3000,215,5,4,5
MU2263,214,5,4,5
MU3468,214,5,4,5
MU3115,213.17535545,4,2,2
MU3561,212.76527331,4,2,2
MU3482,212.15686275,5,3,5
MU2557,212.03007519,2,2,3
MU2212,212.01834862,5,1,1
MU2814,209.30612245,3,2,3
MU2464,209.24512299,5,2,3
MU2813,208.84615385,5,4,5
MU1977,208.18181818,4,2,3
MU1355,208,5,4,5
MU1100,205.71428571,4,3,3
MU3198,204.20062696,4,2,3
MU193,202.02531646,4,3,4
MU2295,201.71889839,2,1,1
MU1611,201.59021407,5,2,3
MU2948,200.8583691,5,2,3
MU2467,200.72805139,5,2,2
MU3233,200.52325581,5,2,3
MU2607,196.81818182,5,4,5
MU2186,196.75601375,1,1,1
MU1503,195.38461538,5,4,5
MU2013,195,5,4,5
MU3010,194.66666667,5,2,3
MU2742,193.93430099,1,1,2
MU1026,193.57142857,5,4,5
MU1331,192.96296296,5,3,5
MU2652,190.26737968,5,3,3
MU3284,190,5,2,4
MU1817,189.58677686,4,3,4
MU1002,189.47368421,5,4,5
MU2706,189.33333333,5,4,5
MU2482,188.82352941,5,4,5
MU327,187.80487805,4,3,5
MU2038,185.48387097,4,3,5
MU2823,184.84848485,5,3,3
MU1946,184.8455731,4,1,2
MU2654,184.80769231,4,3,3
MU1534,181.9047619,5,4,5
MU3083,179.54545455,4,3,4
MU2218,179.33333333,5,4,5
MU1716,179.09090909,5,4,5
MU1666,179.04761905,5,4,5
MU1330,178.75,5,4,5
MU2424,176.63551402,5,3,3
MU3338,175.62649641,3,1,1
MU3497,175.5971897,3,1,1
MU10742,175,2,4,5
MU2348,174.59016393,5,3,4
MU304,173.83333333,4,3,4
MU2661,172.77777778,5,3,4
MU3349,171.25,5,4,5
MU3309,169.9009901,5,3,4
MU2770,169.13043478,5,4,5
MU1801,169,5,4,5
MU1973,169,5,4,5
MU2139,169,5,4,5
MU1669,168.92857143,5,3,5
MU1974,168.88888889,5,4,5
MU1210,168.75,5,4,5
MU2327,168.02547771,5,2,4
MU1201,167.93478261,5,4,5
MU2046,166.78780013,1,1,2
MU2773,166.62473795,4,2,3
MU131,165,5,3,5
MU3359,162,5,4,5
MU2595,160,5,4,5
MU2704,158.74730022,4,2,3
MU1173,158.53658537,5,4,5
MU2950,157.33333333,5,4,5
MU1046,156,5,4,5
MU10764,156,2,4,5
MU10826,156,2,4,5
MU1255,152.10273202,3,1,1
MU1033,151.33333333,5,3,5
MU2614,147.66666667,5,3,5
MU1902,146.19957537,4,1,3
MU1190,144.88888889,5,4,5
MU3142,139.55555556,5,3,5
MU2530,139.09090909,5,4,5
MU2367,136.11111111,5,3,4
MU3158,135.8974359,5,3,5
MU2461,134.68965517,4,2,3
MU3262,131.45695364,3,1,3
MU3331,123.84615385,4,2,4
MU2703,113.2,5,4,5
MU10897,110,2,3,4
MU11044,110,2,4,5
MU11144,110,1,4,4
MU3425,108.84057971,5,3,4
MU1131,102.44444444,4,3,5
MU3084,96.363636364,5,4,5
MU3242,95.555555556,5,4,5
MU2019,95.333333333,5,4,5
MU2284,95.333333333,5,4,5
MU2556,95.217391304,5,3,5
MU3178,94.88372093,5,4,5
MU2187,90,5,4,5
MU2604,89.230769231,5,4,5
MU1107,89,5,4,5
MU2582,89,5,4,5
MU2499,85,5,4,5
MU2534,79.252873563,4,2,4
MU1945,79,5,4,5
MU1241,74,5,4,5
MU111,71.5,5,3,5
MU1906,69,5,4,5
MU3527,69,5,4,5
MU3396,65.192307692,5,3,5
MU1005,59,3,4,5
